Date,Time,Open,High,Low,Close,Volume,OI
03/29/1982,00:00,0.0,115.79,110.9,115.12,241200000,0
04/05/1982,00:00,0.0,116.94,113.7,116.22,203420000,0
04/12/1982,00:00,0.0,117.7,114.8,116.81,241920000,0
04/19/1982,00:00,115.8,118.64,114.83,118.64,307210000,0
04/26/1982,00:00,118.94,119.33,116.07,116.44,267040000,0
05/03/1982,00:00,115.96,119.89,115.91,119.47,298740000,0
05/10/1982,00:00,119.08,119.92,118.01,118.01,268320000,0
05/17/1982,00:00,117.62,118.02,114.37,114.89,237000000,0
05/24/1982,00:00,114.46,115.51,111.66,111.88,222400000,0
05/31/1982,00:00,111.97,112.48,110.02,110.09,183430000,0
06/07/1982,00:00,109.59,111.48,108.53,111.24,266780000,0
06/14/1982,00:00,110.5,111.22,107.07,107.28,244380000,0
06/21/1982,00:00,107.28,110.92,107.01,109.14,262970000,0
06/28/1982,00:00,109.3,111.0,107.6,107.65,244630000,0
07/05/1982,00:00,107.27,108.97,105.57,108.83,220410000,0
07/12/1982,00:00,109.48,111.48,108.89,111.07,318850000,0
07/19/1982,00:00,111.75,112.39,110.35,111.17,282010000,0
07/26/1982,00:00,110.66,111.16,106.62,107.09,232260000,0
08/02/1982,00:00,107.71,109.43,103.67,103.71,270740000,0
08/09/1982,00:00,103.69,103.85,102.2,103.85,251080000,0
08/16/1982,00:00,103.86,113.02,103.86,113.02,455130000,0
08/23/1982,00:00,113.02,120.26,112.65,117.11,549900000,0
08/30/1982,00:00,117.05,123.64,115.79,122.68,434400000,0
09/06/1982,00:00,122.68,123.22,120.27,120.97,291090000,0
09/13/1982,00:00,120.94,124.88,120.25,122.55,355120000,0
09/20/1982,00:00,122.54,126.43,121.48,123.32,377450000,0
09/27/1982,00:00,123.32,124.16,120.14,121.97,300900000,0
10/04/1982,00:00,121.97,131.11,120.56,131.05,488310000,0
10/11/1982,00:00,131.06,137.97,131.06,133.57,592460000,0
10/18/1982,00:00,133.59,140.4,133.59,138.83,506900000,0
10/25/1982,00:00,138.81,138.81,131.5,133.72,415890000,0
11/01/1982,00:00,133.72,143.99,133.22,142.16,561210000,0
11/08/1982,00:00,142.12,144.36,139.53,139.53,473190000,0
11/15/1982,00:00,139.54,139.54,134.05,137.02,414180000,0
11/22/1982,00:00,137.03,137.1,132.89,134.88,253910000,0
11/29/1982,00:00,134.89,140.37,133.69,138.69,411540000,0
12/06/1982,00:00,138.7,143.68,138.01,139.57,469680000,0
12/13/1982,00:00,139.57,142.5,134.79,137.49,392240000,0
12/20/1982,00:00,137.49,139.94,136.07,139.72,286570000,0
12/27/1982,00:00,139.73,142.34,139.72,140.64,276600000,0
01/03/1983,00:00,140.65,146.46,138.08,145.18,486700000,0
01/10/1983,00:00,145.19,148.36,144.58,146.65,473500000,0
01/17/1983,00:00,146.65,147.9,143.25,143.85,408390000,0
01/24/1983,00:00,143.84,145.47,139.1,144.51,421870000,0
01/31/1983,00:00,144.51,146.14,141.9,146.14,393000000,0
02/07/1983,00:00,146.14,148.81,144.09,147.65,427340000,0
02/14/1983,00:00,147.71,149.41,143.84,148.0,396130000,0
02/21/1983,00:00,148.01,150.88,145.4,149.74,382370000,0
02/28/1983,00:00,149.74,154.16,147.81,153.67,505470000,0
03/07/1983,00:00,153.67,154.01,150.65,151.24,410330000,0
03/14/1983,00:00,151.28,151.62,149.12,149.9,353270000,0
03/21/1983,00:00,149.82,153.78,149.32,152.67,416420000,0
03/28/1983,00:00,152.67,155.02,151.42,152.96,300180000,0
04/04/1983,00:00,152.92,153.92,150.17,152.85,357150000,0
04/11/1983,00:00,152.87,158.75,152.87,158.75,441610000,0
04/18/1983,00:00,158.75,161.08,158.41,160.42,488450000,0
04/25/1983,00:00,160.43,164.43,158.07,164.43,499660000,0
05/02/1983,00:00,164.41,166.99,160.8,166.1,515470000,0
05/09/1983,00:00,166.1,166.46,163.82,164.91,464670000,0
05/16/1983,00:00,164.9,165.18,161.25,162.14,411950000,0
05/23/1983,00:00,162.06,166.39,160.29,164.46,487130000,0
05/30/1983,00:00,164.44,164.79,161.33,164.42,331230000,0
06/06/1983,00:00,164.43,165.09,160.8,162.68,438730000,0
06/13/1983,00:00,162.7,169.64,162.7,169.13,500010000,0
06/20/1983,00:00,169.13,171.6,168.25,170.41,467820000,0
06/27/1983,00:00,170.4,170.46,165.43,168.64,375090000,0
07/04/1983,00:00,166.55,169.15,165.8,167.08,316640000,0
07/11/1983,00:00,167.09,168.11,164.03,164.29,347390000,0
07/18/1983,00:00,164.28,169.8,163.3,168.89,423130000,0
07/25/1983,00:00,167.67,170.72,161.5,162.56,437900000,0
08/01/1983,00:00,162.34,163.44,159.63,161.74,400760000,0
08/08/1983,00:00,161.73,162.6,158.5,162.16,378250000,0
08/15/1983,00:00,162.22,165.91,162.22,163.98,384010000,0
08/22/1983,00:00,164.18,165.64,159.96,162.14,347210000,0
08/29/1983,00:00,162.14,165.07,160.97,165.0,331620000,0
09/05/1983,00:00,165.2,168.48,165.03,166.92,338980000,0
09/12/1983,00:00,166.95,169.2,164.17,166.25,407310000,0
09/19/1983,00:00,166.27,170.17,166.26,169.51,470190000,0
09/26/1983,00:00,169.53,170.41,165.63,166.07,387910000,0
10/03/1983,00:00,165.99,171.1,164.93,170.8,491110000,0
10/10/1983,00:00,170.77,172.65,169.13,169.86,361540000,0
10/17/1983,00:00,169.85,171.18,164.98,165.95,454240000,0
10/24/1983,00:00,165.85,167.15,163.23,163.37,408270000,0
10/31/1983,00:00,163.37,165.21,162.22,162.44,416560000,0
11/07/1983,00:00,162.42,166.3,161.63,166.29,380400000,0
11/14/1983,00:00,166.29,167.58,164.5,165.09,417120000,0
11/21/1983,00:00,165.04,167.26,165.0,167.18,381190000,0
11/28/1983,00:00,167.2,168.07,165.25,165.44,499730000,0
12/05/1983,00:00,165.44,166.34,164.5,165.08,478500000,0
12/12/1983,00:00,165.13,165.63,161.58,162.39,425600000,0
12/19/1983,00:00,162.34,164.18,161.64,163.22,435970000,0
12/26/1983,00:00,163.22,165.84,163.22,164.93,307860000,0
01/02/1984,00:00,164.93,169.31,163.98,169.28,481900000,0
01/09/1984,00:00,169.18,169.54,166.64,167.02,516530000,0
01/16/1984,00:00,167.02,168.34,165.87,166.21,487250000,0
01/23/1984,00:00,166.21,167.12,163.07,163.94,513350000,0
01/30/1984,00:00,164.4,164.67,160.82,160.91,544160000,0
02/06/1984,00:00,160.91,160.91,154.3,156.3,534030000,0
02/13/1984,00:00,156.3,157.48,154.13,155.74,423480000,0
02/20/1984,00:00,155.71,157.51,152.13,157.51,364810000,0
02/27/1984,00:00,157.51,159.9,156.41,159.24,473240000,0
03/05/1984,00:00,159.24,159.24,153.77,154.35,397340000,0
03/12/1984,00:00,154.35,160.45,154.35,159.27,461840000,0
03/19/1984,00:00,159.27,159.27,156.02,156.86,404790000,0
03/26/1984,00:00,156.86,160.46,156.31,159.18,400670000,0
04/02/1984,00:00,159.18,159.87,154.12,155.48,454890000,0
04/09/1984,00:00,155.48,158.87,154.17,157.31,426790000,0
04/16/1984,00:00,157.31,159.59,156.49,158.02,332920000,0
04/23/1984,00:00,158.02,160.69,156.61,159.89,430190000,0
04/30/1984,00:00,159.89,162.11,158.93,159.11,480860000,0
05/07/1984,00:00,159.11,161.31,157.42,158.49,439550000,0
05/14/1984,00:00,158.49,158.49,155.24,155.78,413940000,0
05/21/1984,00:00,155.78,156.11,150.8,151.62,421330000,0
05/28/1984,00:00,151.62,153.24,148.68,153.24,352650000,0
06/04/1984,00:00,153.24,155.4,153.24,155.17,414980000,0
06/11/1984,00:00,155.17,155.17,149.02,149.03,385800000,0
06/18/1984,00:00,149.03,155.64,148.53,154.46,513770000,0
06/25/1984,00:00,154.46,154.67,151.3,153.18,402280000,0
07/02/1984,00:00,153.16,153.87,151.63,152.24,271140000,0
07/09/1984,00:00,152.24,153.53,149.63,150.88,399910000,0
07/16/1984,00:00,150.88,152.6,149.07,149.55,397270000,0
07/23/1984,00:00,149.55,151.38,147.26,151.19,434640000,0
07/30/1984,00:00,151.19,162.56,149.65,162.35,696040000,0
08/06/1984,00:00,162.35,168.59,160.81,165.42,754200000,0
08/13/1984,00:00,164.84,166.09,162.75,164.14,416420000,0
08/20/1984,00:00,164.14,168.8,163.76,167.51,472320000,0
08/27/1984,00:00,167.51,168.21,165.78,166.68,347180000,0
09/03/1984,00:00,166.68,166.68,163.84,164.37,307390000,0
09/10/1984,00:00,164.37,169.65,163.06,168.78,501590000,0
09/17/1984,00:00,168.78,169.37,165.66,165.67,529020000,0
09/24/1984,00:00,165.67,167.2,164.45,166.1,430660000,0
10/01/1984,00:00,166.1,166.1,162.2,162.68,415040000,0
10/08/1984,00:00,162.68,164.47,160.02,164.18,396680000,0
10/15/1984,00:00,164.18,169.62,163.71,167.96,606660000,0
10/22/1984,00:00,167.96,168.36,164.93,165.29,441560000,0
